project,release,file,total_lines,total_comments,normal_comments,commented_out_code
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-core/src/commands/logs/function.ts,166,12,2,10
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/typings.d.ts,4,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/requests.js,0,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/test/init.js,5,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/test/test-project/src/hello.js,7,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/typings/global.d.ts,7,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Help.ts,127,4,1,3
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/fs.ts,16,9,1,8
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Auth.ts,130,2,1,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/NotFound.ts,53,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Command.ts,142,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Environment.describer.ts,22,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/CLI.test.ts,86,26,0,26
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Environment.test.ts,119,16,8,8
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Config.ts,215,7,6,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/index.ts,36,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Environment.ts,649,23,18,5
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Parser.ts,127,6,6,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Parser.test.ts,139,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Command.test.ts,61,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Config.oldtest.ts,33,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/StatusChecker.ts,121,3,2,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/CLI.ts,175,3,2,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/util.ts,62,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/defaultDefinition.ts,76,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Topic.ts,17,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/mock.ts,82,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/check.ts,3,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/ProjectDefinition/yaml.ts,54,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/ProjectDefinition/ProjectDefinition.ts,335,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/ProjectDefinition/Variables.ts,420,146,5,141
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/ProjectDefinition/builtin-modules.ts,35,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/ProjectDefinition/fsToProject.ts,216,10,1,9
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/ProjectDefinition/projectToFs.ts,37,5,1,4
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Flags/number.ts,7,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Flags/string.ts,7,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Flags/boolean.ts,7,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Flags/index.ts,22,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Dispatcher/Dispatcher.ts,115,3,3,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/migration.ts,97,1,0,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/Prompter.ts,113,3,2,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/spinners.ts,738,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/index.ts,400,4,4,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/table.ts,130,17,17,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/StreamOutput.ts,60,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/util.ts,13,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/subtle.ts,149,4,4,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/actions/ActionBase.ts,83,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/actions/SimpleAction.ts,44,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/actions/screen.ts,15,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Output/actions/SpinnerAction.ts,78,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Client/Client.ts,707,13,8,5
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Client/ping.ts,36,1,0,1
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/errors/RequiredFlagError.ts,5,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/errors/PromptMaskError.ts,1,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/errors/EnvDoesntExistError.ts,5,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/errors/ExitError.ts,7,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/types/rc.ts,29,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/types/common.ts,129,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/Plugin.ts,80,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/CorePlugins.ts,37,6,3,3
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/Manager.ts,26,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/Cache.ts,184,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/BuiltInPlugins.ts,13,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/Lock.ts,42,7,7,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/rwlockfile.ts,234,15,15,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/Plugins.ts,189,46,0,46
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/Plugin/PluginPath.ts,185,5,3,2
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/commands/help.ts,164,9,3,6
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/commands/index.ts,10,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli-engine/src/commands/version.ts,9,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/graphcool-cli/src/index.ts,15,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/rest-wrapper/src/randomDogImage.js,11,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/rest-wrapper/src/randomSubBreedImage.js,12,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/rest-wrapper/src/randomBreedImage.js,12,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/rest-wrapper/src/allSubBreeds.js,16,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/rest-wrapper/src/subBreedImages.js,16,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/rest-wrapper/src/allBreeds.js,18,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/rest-wrapper/src/breedImages.js,16,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/env-variables-in-functions/src/hello.js,10,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/typescript-gateway-auth/gateway/index.js,192,27,17,10
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/typescript-gateway-auth/gateway/loggedInUser.js,81,9,4,5
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/typescript-gateway-auth/gateway/authenticate.js,91,12,6,6
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/typescript-gateway-auth/gateway/signup.js,114,14,7,7
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/typescript-gateway-custom-schema/gateway/index.ts,61,7,7,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/yaml-variables/src/hey.js,9,1,1,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/yaml-variables/src/hello.js,8,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/full-example/src/email-password/authenticate.ts,52,4,4,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/full-example/src/email-password/signup.ts,71,4,4,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/full-example/src/email-password/loggedInUser.ts,41,3,3,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/full-example/src/checkout/setOrderItem.ts,153,2,2,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/full-example/src/checkout/pay.ts,197,3,3,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/full-example/src/scripts/seed.js,23,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/node-gateway-custom-schema/gateway/index.js,65,7,7,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/subscriptions/src/createFirstArticle.js,36,16,9,7
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/auth/src/loggedInUser.js,43,4,4,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/auth/src/authenticate.js,57,4,4,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/auth/src/signup.js,73,3,3,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/graphcool-lib/src/checkPostCount.js,28,0,0,0
prisma,0.11.4,/home/vitormelo/poc/scrapper/repos/prisma/examples/graphcool-lib/src/postRandomDogImage.js,37,0,0,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/typings.d.ts,4,0,0,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/requests.js,0,0,0,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/test/init.js,6,0,0,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/test/test-project/src/hello.js,7,0,0,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/typings/global.d.ts,7,1,1,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/Help.ts,143,4,1,3
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/fs.ts,16,9,1,8
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/NotFound.ts,53,2,2,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/Command.ts,140,10,2,8
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/CLI.test.ts,86,26,0,26
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/Config.ts,234,7,6,1
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/index.ts,28,0,0,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/Parser.ts,156,6,6,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/Parser.test.ts,139,1,1,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/Command.test.ts,61,1,1,0
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/Config.oldtest.ts,33,32,4,28
prisma,1.7.1,/home/vitormelo/poc/scrapper/repos/prisma/cli/packages/prisma-cli-engine/src/StatusChecker.ts,179,3,2,1
